first_name,last_name,email,birthday,group,phone,phone_type
Nurkeldi,Baimen,nurkeldi@example.com,1990-05-14,Work,87001112233,mobile
Olzhas,Kydyrbai,olzhas@work.com,1985-11-30,Work,87009998877,work
Darkhan,Juzz,darkhan@mail.com,1995-03-22,Family,87771234567,home
Aruzhan,Sarsenova,aruzhan@gmail.com,1998-07-15,Friend,87011234567,mobile
Yerbol,Tulegenov,yerbol@work.com,1992-09-23,Work,87021234568,work
Madina,Zhakupova,madina@family.kz,2000-01-10,Family,87031234569,home
Alibek,Nurlybayev,alibek@gmail.com,1994-04-17,Friend,87041234570,mobile
Dinara,Sultanova,dinaras@mail.com,1997-08-29,Friend,87051234571,mobile
Ersultan,Kaliaskar,ersultan@edu.kz,1993-12-03,Work,87061234572,work
Gulnur,Seitova,gulnur@gmail.com,1996-06-25,Family,87071234573,home
